Name	Description	Adipose - Subcutaneous	Adipose - Visceral (Omentum)	Adrenal Gland	Artery - Aorta	Artery - Coronary	Artery - Tibial	Bladder	Brain - Amygdala	Brain - Anterior cingulate cortex (BA24)	Brain - Caudate (basal ganglia)	Brain - Cerebellar Hemisphere	Brain - Cerebellum	Brain - Cortex	Brain - Frontal Cortex (BA9)	Brain - Hippocampus	Brain - Hypothalamus	Brain - Nucleus accumbens (basal ganglia)	Brain - Putamen (basal ganglia)	Brain - Spinal cord (cervical c-1)	Brain - Substantia nigra	Breast - Mammary Tissue	Cells - Cultured fibroblasts	Cells - EBV-transformed lymphocytes	Cervix - Ectocervix	Cervix - Endocervix	Colon - Sigmoid	Colon - Transverse	Esophagus - Gastroesophageal Junction	Esophagus - Mucosa	Esophagus - Muscularis	Fallopian Tube	Heart - Atrial Appendage	Heart - Left Ventricle	Kidney - Cortex	Kidney - Medulla	Liver	Lung	Minor Salivary Gland	Muscle - Skeletal	Nerve - Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin - Not Sun Exposed (Suprapubic)	Skin - Sun Exposed (Lower leg)	Small Intestine - Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
ENSG00000114166.7	KAT2B	23.6793	20.1072	9.56261	31.7054	27.9057	32.9449	22.6545	34.741	26.5868	29.3078	33.9898	36.9358	25.9037	25.0695	26.2612	25.9239	30.1022	27.0067	39.0833	35.9275	17.7754	10.3706	15.2528	29.3456	27.9512	26.9856	16.1807	28.8438	25.5074	28.5713	18.0846	16.3609	15.1046	7.70808	9.04771	11.2034	23.7411	20.9919	29.5322	53.5382	31.4821	8.12053	15.0495	21.7707	17.5127	19.6469	22.8546	22.0689	15.9771	4.45161	30.3612	23.8474	33.0966	14.03
ENSG00000112038.17	OPRM1	0	0	0	0	0	0	0	0.0319983	0.0433117	0.0265592	0.832253	1.45343	0.0580372	0.0707267	0.00603042	0.130138	0.144682	0.0112353	0.0100074	0	0	0	0	0	0	0.011366	0	0	0	0	0.00719869	0	0	0	0	0	0	0	0	0	0	0	0.014081	0	0	0	0	0	0	2.53345	0	0	0	0
ENSG00000170312.15	CDK1	4.05339	2.76667	1.45045	1.40055	2.8724	0.978909	1.30677	0.295381	0.583064	0.326407	0.354243	0.304975	0.485528	0.713848	0.400908	0.323587	0.251923	0.305573	0.624385	0.403627	2.86674	31.4479	108.391	2.77456	2.55091	0.698878	5.39261	0.753553	21.0463	0.75988	2.58477	0.665582	0.433869	1.10839	1.76374	0.2683	3.79694	2.41712	0.383719	1.5239	2.54124	0.338255	5.1997	1.55834	6.34649	6.23825	7.1597	7.51092	1.98778	25.76	2.50181	2.28503	8.90212	1.03669
ENSG00000138162.18	TACC2	10.0812	8.07309	4.56019	25.2648	18.4743	21.007	33.1898	3.45752	4.39899	4.15044	14.2451	14.0534	6.30405	6.03302	3.52074	5.37846	5.19752	2.78636	1.83508	2.51624	9.93664	3.10945	0.0780414	14.0009	13.7874	40.0946	18.8897	30.1876	25.6031	30.4354	19.5602	39.4128	35.4243	6.47163	5.55904	2.59266	26.4516	26.1742	95.1311	9.65036	3.69777	4.12574	26.1491	27.0239	51.9117	54.9761	9.81044	1.53484	13.7879	3.61721	28.0081	16.4892	24.3608	0.0548822
ENSG00000189319.13	FAM53B	16.5586	13.6233	25.1874	11.3967	13.1755	10.6839	15.731	13.3413	10.9613	15.2184	31.8225	33.6202	16.1352	14.5476	17.0679	14.2801	12.1205	16.0269	29.6226	13.4139	14.1451	8.41046	13.4407	17.5012	27.4317	20.0031	16.7939	15.1405	17.4927	15.5128	22.9679	12.6636	10.9936	9.17902	8.28374	2.6478	20.2878	14.9894	27.8301	59.3076	35.6444	4.46198	22.401	15.9724	21.3676	22.4623	22.184	32.7252	11.7103	32.3574	33.9041	45.2295	14.5895	16.9801
ENSG00000233334.3	FAM53B-AS1	0.187185	0.170644	0.920646	0.0221628	0.0569577	0.025181	0.0695075	0.322765	0.113586	0.35039	0.201972	0.331579	0.163878	0.16016	0.46992	0.285768	0.19084	0.463663	0.640701	0.423474	0.167206	0	0.029784	0.12501	0.237086	0.0468228	0.0615045	0.0415554	0.0526868	0.0461099	0.116773	0.174213	0.312563	0.103566	0.0531452	0	0.098868	0.0871075	0.261121	0.279608	0.779106	0	0.0633183	0.106505	0.101402	0.101632	0.12466	0.246256	0.0366921	0.32221	0.182723	0.265715	0.0978043	0.0646465
ENSG00000174672.15	BRSK2	0.70095	1.10084	0.821949	1.01783	4.0445	6.94475	1.22272	21.3196	36.4075	21.4058	126.768	135.475	56.8591	52.2651	26.9611	24.4122	25.0486	18.5802	18.8796	15.2149	0.794224	0.0839159	0.0469182	1.31119	3.41416	4.1754	1.9375	3.23892	0.631248	2.43257	4.71367	0.594615	0.327772	0.318845	0.423832	0.0807524	0.627416	0.372494	0.162642	9.95677	1.20675	30.4195	21.7296	1.94598	0.317399	0.343653	1.23642	0.714461	1.3336	15.4352	1.73266	2.27764	1.13245	0.084561
ENSG00000185046.18	ANKS1B	0.47078	0.525841	0.741908	3.17278	2.57144	3.6254	1.12507	12.1394	14.519	17.6334	13.9765	12.8376	17.3164	22.9209	16.5317	12.1752	22.8587	13.7143	24.8646	11.2815	0.773073	0.0425845	0.0306494	1.80684	1.52564	2.09637	0.550921	1.24847	0.282691	1.27158	0.958616	0.24089	0.0962264	0.462038	0.276909	0.0346283	0.304915	0.579638	0.529033	1.87621	1.55374	0.105749	5.71533	0.793911	0.334686	0.323368	0.223759	0.15965	0.190851	3.69394	2.22823	1.33407	0.673945	0.0126663
ENSG00000133026.12	MYH10	26.0654	36.324	17.4373	932.731	307.963	220.89	20.82	12.5789	22.8502	21.8787	42.9122	41.0275	35.6012	42.9007	14.0436	18.3799	19.2869	14.7835	7.88913	10.3288	28.7529	55.4379	5.75078	41.1028	44.59	22.7451	10.3517	20.9238	9.10752	16.4625	50.0197	27.9437	8.67853	18.1009	23.6385	8.23822	127.901	11.3387	3.22043	28.6586	54.0817	4.30185	36.8385	26.3655	11.0199	14.0037	7.75424	4.49008	7.10111	17.1906	26.8016	54.4241	18.9983	0.671439
ENSG00000161973.10	CCDC42	0.0618192	0.0480326	0.0267853	1.78492	0.615457	0.355401	0.0571604	0.0118825	0.0429088	0	0	0	0.0425136	0.0374345	0	0.0123222	0	0	0	0	0.0424225	0	0.0637972	0.101049	0.126088	0.0222334	0.0266181	0.0170795	0.0127521	0	0.120125	0.0339535	0	0.0472061	0.119908	0.045776	0.218062	0.0271879	0	0.0477625	0.0615568	0	0.043875	0.0775674	0.0193607	0.0334345	0.114501	0.189689	0.0224372	146.134	0.0566252	0.0605524	0.0363912	0.092284
